feature_name,category,description,formula,input_columns,output_type,used_by
district,source,District name (canonical spelling from geography dataset).,pass-through,district,str,"analytics, exclude"
year,source,Calendar year of the observation.,pass-through,year,int,"ml, analytics"
month,source,Calendar month number (1–12).,pass-through,month,int,"ml, analytics"
reporting_month,source,Reporting period in YYYY-MM format.,pass-through,reporting_month,str,"analytics, exclude"
units,source,Total electricity units consumed in the district-month (MWh or kWh).,pass-through,units,float,"ml, analytics"
load,source,Total connected load in the district-month (kVA or kW).,pass-through,load,float,"ml, analytics"
total_services,source,Total number of electricity service connections in the district.,pass-through,total_services,int,"ml, analytics"
billed_services,source,Number of service connections that received a bill in this month.,pass-through,billed_services,float,"ml, analytics"
circle_count,source,Number of DISCOMS circles present in the district.,pass-through,circle_count,int,"ml, analytics"
division_count,source,Number of DISCOMS divisions present in the district.,pass-through,division_count,int,"ml, analytics"
subdivision_count,source,Number of DISCOMS subdivisions present in the district.,pass-through,subdivision_count,int,"ml, analytics"
charging_station_count,source,Number of EV charging stations registered in the district.,pass-through,charging_station_count,int,"ml, analytics"
latitude,source,Approximate latitude of the district centroid.,pass-through,latitude,float,"ml, analytics"
longitude,source,Approximate longitude of the district centroid.,pass-through,longitude,float,"ml, analytics"
district_area_sqkm,source,Geographic area of the district in square kilometres.,pass-through,district_area_sqkm,float,"ml, analytics"
quarter,temporal,"Calendar quarter of the observation (Q1=Jan-Mar, Q2=Apr-Jun, Q3=Jul-Sep, Q4=Oct-Dec).",ceil(month / 3),month,int,"ml, analytics"
season,temporal,"Telangana meteorological season: Summer (Mar-May), Monsoon (Jun-Sep), Post-Monsoon (Oct-Nov), Winter (Dec-Feb).","lookup(month, season_map)",month,str,"analytics, exclude"
month_name,temporal,Full English month name derived from the month number.,"lookup(month, month_names)",month,str,"analytics, exclude"
year_index,temporal,Zero-based year index relative to the earliest year in the dataset. Acts as a monotone linear time regressor.,year - min(year),year,int,"ml, analytics"
month_of_year,temporal,"Month number (1–12), explicit alias of the source 'month' column for clarity in feature selection.",month,month,int,"ml, analytics"
is_first_month,temporal,"Binary flag: 1 if this row is the earliest reporting_month for the district, else 0.",1 if reporting_month == min(reporting_month) per district else 0,"district, reporting_month",int,"ml, analytics"
